;Purchase;Organisation;Price;Date
69;Сопровождение эксплуатации энергоблоков 1, 2 со стороны Системного интегратора в части согласования эксплуатационной документации, программ, методик и отчетов на соответствие требованиям норм и правил в области энергетики;"Филиал АО ""Концерн Росэнергоатом"" ""Ростовская атомная станция""
Заказчик:ОАО ""Концерн Росэнергоатом""";590000;13.02.2013
70;"Техническое обслуживание и планово-предупредительный ремонт системы охранной сигнализации, смонтированной на ФОС-1 и ФОС-2, в зданиях 447 и 647; установки пожарной сигнализации и системы оповещения и управления эвакуацией людей при пожаре в зданиях и сооружениях СП «Копанское»; установки охранно-пожарной сигнализации и системы оповещения и управления эвакуацией людей при пожаре в СКК «Энергетик» Ленинградской АЭС» и здании 372; установки охранно-пожарной сигнализации, системы видеонаблюдения и системы оповещения и управления эвакуацией людей при пожаре, пожаротушения в ЗПУПД Г";"Акционерное общество ""Концерн Росэнергоатом"" филиал ""Ленинградская атомная станция""
Заказчик:ОАО ""Концерн Росэнергоатом""";1119630;27.12.2012
71;Открытый запрос предложений в электронной форме на право заключения Договора на оказание услуг по энергетическому обследованию (энергоаудиту), с разработкой энергетического паспорта, включающего рекомендации и техническое решение по рациональному использованию энергетических ресурсов ОАО «ЭлС».;"Открытое акционерное общество ""ЭлС""";;19.12.2012
72;Лот №1 Услуги по обеспечению функционирования дорожного хозяйства (автомобильных дорог, мостов, тоннелей и т.п.);Интегратор ММВБ;547124;29.01.2015
73;Лот №1 Услуги по монтажу оборудования;Интегратор ММВБ;139926;29.01.2015
74;Разработка концепции науч-но-производственного цен-тра в области водородной энергетики (в том числе во-дородных накопителей элек-троэнергии и топливных элементов различных типов;"Акционерное общество ""ТВЭЛ""
Заказчик:ОАО ТВЭЛ";4600000;21.03.2013
75;"Оказание услуг по проведению рекламно-имиджевых мероприятий, посвященных деятельности филиала «Концерн Росэнергоатом» «Калининская атомная станция»; создание в регионе расположения КАЭС устойчивого положительного мнения о социальной и экономической приемлемости КАЭС и атомной энергетики в целом";"Акционерное общество ""Концерн Роснергоатом"" филиал ""Калининская атомная станция""";2697480;06.03.2013
76;Разработка и согласование с распорядителем Недр программы мониторинга подземных вод для технологического обеспечения водой объекта энергетики;"Филиал АО ""Концерн Росэнергоатом"" ""Ростовская атомная станция""
Заказчик:ОАО ""Концерн Росэнергоатом""";371480;23.02.2013
77;Лот №1 Бензины автомобильные;Интегратор ММВБ;3750000;28.01.2015
78;Лот №1 Автомобили легковые;Интегратор ММВБ;2760666;29.01.2015
79;Лот №1 Бензины автомобильные;Интегратор ММВБ;1250000;29.01.2015
80;Лот №1 Проектная документация и технико-экономическое обоснование продукции;Интегратор ММВБ;1191163;27.01.2015
81;Лот №1 Автомобили легковые;Интегратор ММВБ;1069200;29.01.2015
82;Лот №1 Благоустройство территории;Интегратор ММВБ;895013;18.03.2013
83;"Насосное оборудование для санатория профилактория ""Энергетик""";"Акционерное общество ""Концерн Росэнергоатом"" филиал ""Нововоронежская АЭС""
Заказчик:ОАО ""Концерн Росэнергоатом""";9914349;19.04.2013
